sample_id,source_dataset,target_split,annotation_type,label,original_text,perturbed_text,perturbation_types,random_seed,naturalness_1_to_5,semantic_preservation_yes_no,label_preservation_yes_no,reviewer_notes
sv_da7121d7bca0bba45cdbaf10,tarudesu/VOZ-HSD,train,weak_ai,HATE,Toàn mõm,Toàààn mõm,"[""expressive_lengthening""]",556d5f7d18ebdb30,,,,
sv_41ac9672f4176c0120af7de8,uitnlp/vihsd,test,human,CLEAN,"Khổ bố lân ép cụ quá ,nhưng phải nói cụ còn khỏe và sung lắm ,chứ đâu có lởm khởm như đào tụt quần và phan kỳ nhông","Khổ bố lân ép cụ quá ,nhưng fải nói cụ còn khỏe và sung lắm ,chứ đâu có lởm khởm như đào tụt quần và phaaan kỳ nhông","[""intentional_spelling"", ""expressive_lengthening""]",b1c0c25499bfd451,,,,
sv_a31a62d5a73dbd7d327ac52b,tarudesu/VOZ-HSD,train,weak_ai,HATE,"t chán lắm rồi, tăng x3,4 lần cmnl luôn 1 lần đi lũ lol , thuế thì đớp đéo nhả 1 xu nào, dkm chúng m","t chán lắm rùi, tăăng x3,4 lần cmnl luôn 1 lần đi lũ lol , thuế thì đớp đéo nhả 1 xu nào, dkm chúng m","[""typographical_noise"", ""intentional_spelling""]",cf8bbb3d0cd450d9,,,,
sv_267b58c413e7baa2d3d83099,uitnlp/vihsd,train,human,HATE,Cả nước chống dịch ai cũng như ông này chắc thành Vũ Hán hai,Cả nước chống dịch ai cũng như ông n.ày chắf thành Vũ Hán hai,"[""surface_obfuscation"", ""typographical_noise""]",4a58e0bcee0e30ba,,,,
sv_3ade6179802b4d36e50a066f,tarudesu/VOZ-HSD,train,weak_ai,HATE,"chuẩn, đéo làm gương cho con noi theo mà cầm roi đi xe máy dí nó","chuẩn, đéoo làm gương cho con noi theo mà cầm roi đi xe máy dí nó","[""expressive_lengthening""]",95ad7550e6b8c1af,,,,
sv_f38a757087f768304e5ca3e1,uitnlp/vihsd,validation,human,CLEAN,Nguyễn Trung Kiên liên quân luôn nhá,Nguyễn Trung Kiên liên qân luôn nhá,"[""typographical_noise""]",33d645842ae71f16,,,,
sv_624ca7c9e1ccd4bdec580780,uitnlp/vihsd,test,human,CLEAN,Chuẩn!!,Chuuuuẩn!!,"[""expressive_lengthening""]",afbd6af49658ff01,,,,
sv_d48a39cf56c63ff4752be4f5,tarudesu/VOZ-HSD,train,weak_ai,HATE,"mấy thằng trên này chửi nhà nước chắc não tôm, người ta khuyến khích đẻ là khuyến khích mỗi gia đình đẻ đủ 2 đứa con, chứ đằng này có 2 đứa rồi còn đẻ thêm đứa thứ ba thì kỉ luật là phải r, đéo oan gì cả","mấy thằng trên này chửi nhà nước chắc não tôm, ng ta khuyến khích đẻ là khuyến khích mỗi gia đình đẻ đủ 2 đứa con, chứ đ-ằng này có 2 đứa rồi còn đẻ thêm đứa thứ ba thì kỉ luật là phải r, đéo oan gì cả","[""abbreviation_clipping"", ""surface_obfuscation""]",81a62d8f3f2fd408,,,,
sv_b1f938c91e165a5be8d377e1,tarudesu/VOZ-HSD,train,weak_ai,HATE,sao trận đéo nào mày cũng chửi được thế. Đá mới hơn 20p cơ hội như nhau mà quát cái mồm lên chửi như mấy con mẹ ngoài chợ thế. Đéo hài lòng thì tắt máy ngủ đi chửi chửi cl,sao trận đéo nào mày cx chửi được thế. Đá mới hơn 20p cơ hội như nhau mà quát cái mồm lên chửi như mấy con mẹ ngoài chợ thế. Đéo hài lòng thì tắt máy ngủ đi chửi chửi cl,"[""intentional_spelling""]",0a55a930f52a2d80,,,,
sv_f06c54b1a50d2d7e41c42cf1,tarudesu/VOZ-HSD,train,weak_ai,CLEAN,"tui mua hàng trên 1 trang TMĐT, trang này là trang có tiếng hàng uy tín nhất luôn, mọi ng biết mà phải không nhưng hàng nhận về cái tem nó nhỏ với chữ hơi mờ, thấy nghi quá ta, hình kia là hàng thấy ngoài siêu thị, tem nó to và rõ. hỏi nó thì CSKH của nó gọi lại khẳng định là hàng thật từ U. có ai rành cái này không?","tui mua hàng trên 1 trang TMĐT, trang này là trang có tiếng hàng uy tín nhất luôn, mọi ng biết mà phải hông nhưng hàng nhận về cái tem nó nhỏ với chữ hơi mờ, thấy nghi quá ta, hình kia là hàng thấy ngoài siêu thị, tem nó to và rõ. hỏi nó thì CSKH của nó gọi lạiiii khẳng đị·nh là hàng thật từ U. có ai rành cái này không?","[""surface_obfuscation"", ""expressive_lengthening"", ""phonetic_spelling""]",916b3add0eacccfb,,,,
